facility_id,facility_name,district,taluk,address,latitude,longitude,capacity_mt,temperature_min_c,temperature_max_c,commodities_stored,operator_type,contact_phone,contact_email,operational_status,nwrda_registered,year_established,occupancy_pct,price_per_ton_day,base_temp_c
KA_CS_001,Kolar Cold Storage Pvt Ltd,Kolar,Kolar,APMC Yard Road Kolar 563101,13.136,78.1294,2500,-2,8,"Tomato,Potato,Onion",Private,08152-222345,kolarcs@gmail.com,Active,Yes,1998,100.0,150.0,4.0
KA_CS_002,Karnataka State Warehousing Corporation - Kolar,Kolar,Kolar,NH-75 Bypass Kolar 563101,13.129,78.135,5000,0,10,"Tomato,Onion,Pulses",Government,08152-230101,kswc.kolar@kswc.in,Active,Yes,1985,53.0,180.0,4.0
KA_CS_003,Sri Venkateshwara Cold Chain,Kolar,Mulbagal,Industrial Area Mulbagal 563131,13.1616,78.3956,1800,-1,6,"Tomato,Grapes,Carrot",Private,9900112233,svcc.mulbagal@gmail.com,Active,No,2012,95.3,180.0,4.0
KA_CS_004,Chintamani Agri Cold Store,Chikkaballapur,Chintamani,Market Road Chintamani 563125,13.401,78.054,3000,-2,8,"Tomato,Mango,Potato",Private,08156-251234,chintcs@gmail.com,Active,Yes,2005,84.4,180.0,4.0
KA_CS_005,Doddaballapur Fresh Cool,Bengaluru Rural,Doddaballapur,Tumkur Road Doddaballapur 561203,13.294,77.534,2200,0,5,"Flower,Vegetable,Fruit",Private,9845567890,dbpcool@gmail.com,Active,No,2015,65.0,180.0,4.0
KA_CS_006,HOPCOMS Cold Storage - KR Market,Bengaluru Urban,Bengaluru Central,KR Market Complex Bengaluru 560002,12.9629,77.5765,1500,-1,4,"Vegetable,Fruit,Flower",Government,080-22862222,hopcoms.krm@gmail.com,Active,Yes,1990,57.1,120.0,4.0
KA_CS_007,Reefer Logistics Karnataka,Bengaluru Urban,Bengaluru East,Whitefield Industrial Area 560066,12.9698,77.75,4000,-5,2,"Dairy,Meat,Seafood",Private,080-66778899,reefer.ka@gmail.com,Active,Yes,2010,65.0,180.0,4.0
KA_CS_008,NWK Agri Cold Hub,Tumakuru,Tumakuru,KIADB Industrial Area Tumakuru 572104,13.34,77.101,3500,-2,8,"Coconut,Onion,Tomato",Private,0816-2278800,nwk.tumkur@gmail.com,Active,Yes,2008,65.0,180.0,4.0
KA_CS_009,Siddaganga Cold Storage,Tumakuru,Sira,NH-206 Sira 572137,13.743,76.91,2000,0,10,"Onion,Potato,Pulses",Private,9741234567,siddagangacs@gmail.com,Active,No,2003,65.0,180.0,4.0
KA_CS_010,Bagalkot Horticulture Cold Store,Bagalkot,Bagalkot,APMC Compound Bagalkot 587101,16.18,75.6966,3200,-2,6,"Pomegranate,Grape,Banana",Government,08354-230456,bagalkotcs@apmc.in,Active,Yes,2001,56.4,90.0,4.0
KA_CS_011,Vijayapura Cold Chain Hub,Vijayapura,Vijayapura,Solapur Road Vijayapura 586101,16.829,75.715,4500,-3,8,"Grape,Pomegranate,Onion",Private,08352-260789,vjpcs@gmail.com,Active,Yes,2007,97.2,180.0,4.0
KA_CS_012,Hubli Agri Cold Storage,Dharwad,Hubli,APMC Yard Gokul Road Hubli 580028,15.368,75.124,3800,-2,8,"Onion,Potato,Groundnut",Private,0836-2216789,hubliagrics@gmail.com,Active,Yes,2000,65.0,180.0,4.0
KA_CS_013,KSWC Dharwad,Dharwad,Dharwad,Industrial Estate Dharwad 580001,15.456,75.007,6000,0,10,"Pulses,Oilseeds,Cereal",Government,0836-2449900,kswc.dharwad@kswc.in,Active,Yes,1982,65.0,180.0,4.0
KA_CS_014,Davangere Cold Foods,Davangere,Davangere,PJ Extension Davangere 577002,14.465,75.921,2800,-1,5,"Maize,Paddy,Groundnut",Private,08192-233456,dvrecs@gmail.com,Active,No,2006,96.3,90.0,4.0
KA_CS_015,Chitradurga Agri Cold Hub,Chitradurga,Chitradurga,Bypass Road Chitradurga 577501,14.229,76.396,2200,0,8,"Groundnut,Sunflower,Onion",Private,08194-221345,ctdgcs@gmail.com,Active,No,2009,65.0,180.0,4.0
KA_CS_016,Shivamogga Horticulture Store,Shivamogga,Shivamogga,APMC Yard Shivamogga 577201,13.929,75.568,2500,-2,6,"Areca Nut,Pepper,Banana",Government,08182-222456,shvmgacs@apmc.in,Active,Yes,1996,65.0,180.0,4.0
KA_CS_017,Hassan Cold Storage Ltd,Hassan,Hassan,APMC Road Hassan 573201,13.007,76.101,3000,-2,8,"Coffee,Ginger,Potato",Private,08172-267890,hassancs@gmail.com,Active,Yes,2004,65.0,180.0,4.0
KA_CS_018,Kodagu Coffee Cold Store,Kodagu,Madikeri,Madikeri Road Madikeri 571201,12.423,75.738,1500,-1,5,"Coffee,Pepper,Cardamom",Private,08272-225678,kodagucs@gmail.com,Active,No,2011,65.0,180.0,4.0
KA_CS_019,Mysuru Cold Chain Facility,Mysuru,Mysuru,Industrial Suburb Mysuru 570008,12.295,76.639,4200,-3,6,"Vegetable,Fruit,Flower",Private,0821-2402345,mysurucs@gmail.com,Active,Yes,2002,52.4,180.0,4.0
KA_CS_020,KSWC Mysuru,Mysuru,Mysuru,Bannimantap APMC Mysuru 570015,12.304,76.655,7000,0,10,"Ragi,Paddy,Onion",Government,0821-2480100,kswc.mysuru@kswc.in,Active,Yes,1980,65.0,180.0,4.0
KA_CS_021,Chamarajanagar Fresh Store,Chamarajanagar,Chamarajanagar,NH-212 Chamarajanagar 571313,11.926,76.944,1800,-1,6,"Banana,Ginger,Turmeric",Private,08226-222567,chamcs@gmail.com,Active,No,2013,65.0,180.0,4.0
KA_CS_022,Mandya Sugar Crop Cold Hub,Mandya,Mandya,Bangalore Road Mandya 571401,12.525,76.896,2600,0,8,"Sugarcane,Banana,Coconut",Private,08232-222789,mandyacs@gmail.com,Active,No,2007,50.1,150.0,4.0
KA_CS_023,Ramanagara Cold Storage,Ramanagara,Ramanagara,Mysore Road Ramanagara 562159,12.721,77.281,2000,-1,6,"Mango,Tomato,Mulberry",Private,08027-270345,ramnagaracs@gmail.com,Active,No,2010,65.0,180.0,4.0
KA_CS_024,Gadag Horticulture Cold Hub,Gadag,Gadag,APMC Compound Gadag 582101,15.421,75.623,2800,-2,8,"Onion,Groundnut,Chilli",Government,08372-232456,gadagcs@apmc.in,Active,Yes,2003,65.0,180.0,4.0
KA_CS_025,Haveri Agro Cold Store,Haveri,Haveri,Industrial Area Haveri 581110,14.795,75.399,2200,0,8,"Cotton,Chilli,Onion",Private,08375-222567,haveriacs@gmail.com,Active,No,2009,65.0,180.0,4.0
KA_CS_026,Uttara Kannada Spice Cold Store,Uttara Kannada,Karwar,Port Area Karwar 581301,14.813,74.128,1800,-1,5,"Spice,Pepper,Cardamom",Private,08382-222345,ukcss@gmail.com,Active,No,2012,65.0,180.0,4.0
KA_CS_027,Udupi Seafood Cold Hub,Udupi,Udupi,Fisheries Complex Udupi 576101,13.341,74.745,2000,-18,-2,"Seafood,Fish,Prawn",Private,0820-2522345,udupicsh@gmail.com,Active,Yes,2005,65.0,180.0,4.0
KA_CS_028,Dakshina Kannada Cold Chain,Dakshina Kannada,Mangaluru,APMC Yard Mangaluru 575001,12.88,74.88,5000,-5,4,"Seafood,Coconut,Arecanut",Private,0824-2444567,dkccs@gmail.com,Active,Yes,2001,65.0,180.0,4.0
KA_CS_029,Belagavi Agri Cold Store,Belagavi,Belagavi,APMC Market Belagavi 590001,15.852,74.498,4500,-2,8,"Grape,Sorghum,Sugarcane",Private,0831-2452678,belgaviacs@gmail.com,Active,Yes,2006,65.0,180.0,4.0
KA_CS_030,Bidar Horticulture Cold Hub,Bidar,Bidar,Industrial Area Bidar 585401,17.913,77.516,2500,-2,8,"Mango,Tur Dal,Onion",Government,08482-222345,bidarcs@apmc.in,Active,No,2008,65.0,180.0,4.0
KA_CS_031,Kalaburagi Cold Store,Kalaburagi,Kalaburagi,APMC Yard Kalaburagi 585101,17.329,76.821,4000,-2,8,"Tur Dal,Chilli,Onion",Private,08472-255678,kgbcs@gmail.com,Active,Yes,2004,65.0,180.0,4.0
KA_CS_032,Raichur Cold Chain Facility,Raichur,Raichur,Manvi Road Raichur 584101,16.201,77.356,3200,-1,8,"Paddy,Groundnut,Onion",Government,08532-222456,raichurcs@kswc.in,Active,Yes,2002,65.0,180.0,4.0
KA_CS_033,Koppal Agri Cold Hub,Koppal,Koppal,APMC Compound Koppal 583231,15.352,76.155,2000,0,8,"Onion,Groundnut,Paddy",Private,08539-222567,koppalacs@gmail.com,Active,No,2010,65.0,180.0,4.0
KA_CS_034,Yadgir Cold Storage,Yadgir,Yadgir,Hyderabad Road Yadgir 585201,16.77,77.134,2200,0,8,"Tur Dal,Sunflower,Onion",Private,08473-222678,yadgircs@gmail.com,Active,No,2013,65.0,180.0,4.0
KA_CS_035,Ballari Cold Store,Ballari,Ballari,Industrial Area Ballari 583101,15.149,76.921,3500,-2,6,"Tomato,Onion,Groundnut",Private,08392-222789,ballariacs@gmail.com,Active,Yes,2005,97.4,180.0,4.0
KA_CS_036,Vijayanagar Cold Chain Hub,Vijayanagar,Hosapete,APMC Yard Hosapete 583201,15.27,76.388,3000,-2,8,"Banana,Tomato,Onion",Private,08394-225678,vjngrcs@gmail.com,Active,No,2016,97.0,180.0,4.0
KA_CS_037,NCDFI Cold Hub - Electronic City,Bengaluru Urban,Bengaluru South,Electronic City Phase 2 560100,12.839,77.679,3000,-5,2,"Dairy,Processed Food,Vegetable",Government,080-27830100,ncdfi.ecity@gmail.com,Active,Yes,2009,65.0,180.0,4.0
KA_CS_038,Nelamangala Agro Cold Store,Bengaluru Rural,Nelamangala,NH-48 Nelamangala 562123,13.098,77.392,2800,-2,6,"Mango,Tomato,Flower",Private,9845890123,srcool.nmg@gmail.com,Active,No,2014,74.3,180.0,4.0
KA_CS_039,Anekal Cold Chain Facility,Bengaluru Urban,Anekal,Hosur Road Anekal 562106,12.709,77.696,2500,-3,5,"Flower,Vegetable,Fruit",Private,9986001234,anekalcs@gmail.com,Active,No,2017,65.0,180.0,4.0
KA_CS_040,Tumakuru Silk City Cold Store,Tumakuru,Tumakuru,Sira Road Tumakuru 572101,13.342,77.098,2400,-1,5,"Mulberry,Vegetable,Fruit",Private,0816-2274567,tskcs@gmail.com,Active,No,2014,65.0,180.0,4.0
