buyer_name,target_crop,district,processing_type
Kissan Tomato Sauce Processing Unit (Kolar),Tomato,Kolar,Sauces & Dehydration
ITC Snack Foods Division (Bengaluru),Potato,Bengaluru Urban,Chips & Starch Stripping
Regional Agro-Processing Cooperative Hub,Capsicum,Tumakuru,Pickling & Spices
MTR Spice Preservation Cell,Cabbage,Chikkaballapur,Dehydrated Shredding
Mother Dairy Fruit Processing Hub,Mango,Dharwad,Pulping & Juicing Concentrate
KAIC Onion Stabilization Yard,Onion,Bagalkot,Bulk Dehydration & Powder
Nandini Agro Foods Cell,Cauliflower,Belagavi,Freezing & Preservation
Safal Fresh Procurement Grid,Banana,Bengaluru Rural,Ripening & Puree Lines
Freshtrop Fruit Processing,Grapes,Vijayapura,Resveratrol Extraction & Raisins
Dabur Food Processing Cell,Pomegranate,Chitradurga,Juice Extraction & Deseeding
Aashirvaad Food Preservation Unit,Brinjal,Davangere,Brine Curing & Pickles
Eastern Condiments Plant,Okra,Mandya,Dehydrated Export Packing
Organic India Preservation Hub,Spinach,Mysuru,Powder Concentration & Cold Wash
Coconut Development Board Unit,Coconut,Tumakuru,Desiccated Powder & Oil Mills
